年度,問句,問題類別
2024,校外人士進館,校外人士與校友服務
2024,自習室開放時間,開館時間與空間指引
2024,校外人士進館,校外人士與校友服務
2024,如何借平板,空間與設備
2024,準研究生,學位論文與比對系統
2024,借閱權限,借還書與流通服務
2024,研究生,學位論文與比對系統
2024,提升借閱權限,借還書與流通服務
2024,校外人士可以借用電腦設備?,校外人士與校友服務
2024,如何登記,空間與設備
2024,電腦借用,空間與設備
2024,開館日期及時間,開館時間與空間指引
2024,圖書館有影印機嗎,空間與設備
2024,學生證遺失怎麼辦？,行政庶務
2024,可以當天預約討論室嗎？,空間與設備
2024,台北分館的營業時間,開館時間與空間指引
2024,討論是預約,空間與設備
2024,取消討論室預約,空間與設備
2024,借書逾期未還,借還書與流通服務
2024,借書過期,借還書與流通服務
2024,請問個人閱覽座 是可以直接坐的嗎,空間與設備
2024,可以在台北分館借書 淡水分館還書嗎,借還書與流通服務
2024,借還書規則,借還書與流通服務
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,校友可以用hyread,校外人士與校友服務
2024,開館日期及時間,開館時間與空間指引
2024,請問團體自習室在哪,空間與設備
2024,討論室預約,空間與設備
2024,學位論文比對,學位論文與比對系統
2024,查詢電影類別,館藏查詢
2024,校友圖書館借書証怎麼辦理,校外人士與校友服務
2024,請問開館時間,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,如何登入,電子資源與系統登入
2024,校外人士進館,校外人士與校友服務
2024,華藝圖書館登入帳號,電子資源與系統登入
2024,我要尋找SCI期刊,幫忙找資料
2024,校友借書證,校外人士與校友服務
2024,有沒有經濟學原理的書,館藏查詢
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,為什麼目前不可借閱,借還書與流通服務
2024,為什麼在網站看到有書卻找不到,館藏查詢
2024,目前不可借閱,借還書與流通服務
2024,自習室座位有插頭嗎,空間與設備
2024,自習室座位有插頭嗎,空間與設備
2024,開館日期及時間,開館時間與空間指引
2024,自習室座位有插頭嗎,空間與設備
2024,怎麼去自習室,開館時間與空間指引
2024,自習室在幾樓,空間與設備
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,你好~請問～我相查閱線上電子論文和電子期刊..是否有截俓,電子資源與系統登入
2024,如何查找電子資料庫、期刊,電子資源與系統登入
2024,有CRSP資料庫嗎,幫忙找資料
2024,討論室預約,空間與設備
2024,圖書館哪裡可看電影,空間與設備
2024,預約多媒體,空間與設備
2024,如何查找電子資料庫、期刊,電子資源與系統登入
2024,我要連外電子資料庫下載論文,電子資源與系統登入
2024,電子書,電子資源與系統登入
2024,電子書,電子資源與系統登入
2024,找書,館藏查詢
2024,ieee,幫忙找資料
2024,ieeee,其他
2024,圖書館是否有活動消息的電子信箱訂閱服務,圖書館推廣與展演活動
2024,圖書館是否有電子版報紙？,電子資源與系統登入
2024,我想要借東吳大學的書本,借還書與流通服務
2024,不滿意你的回答,其他
2024,你很不會回答問題欸,其他
2024,如何看到電子書全文,電子資源與系統登入
2024,如何查找電子資料庫、期刊,館藏查詢
2024,淡江大學圖書館有語音辨識功能嗎,其他
2024,館藏目錄,館藏查詢
2024,謝謝,其他
2024,一人最多可以借幾本書,借還書與流通服務
2024,小書僮,客服機機人
2024,校史館開館時間,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,圖書館很多人在大聲嚷嚷,行政庶務
2024,圖書館很多人在大聲嚷嚷,行政庶務
2024,在校學生若要借書是使用學生證借書嗎,借還書與流通服務
2024,找不到討論室使用單,空間與設備
2024,哪裡列印,空間與設備
2024,請問討論室使用單在哪裡,空間與設備
2024,如何借用多媒體資源室？,空間與設備
2024,預約五樓的多功能,空間與設備
2024,消防設備有更新嗎,行政庶務
2024,可以借廁所嗎,行政庶務
2024,請問武俠小説有哪些,幫忙找資料
2024,畢業紀念冊放在那裡？可以外借嗎？,館藏查詢
2024,畢業紀念冊,館藏查詢
2024,修正說明,其他
2024,學位論,學位論文與比對系統
2024,學位輪,學位論文與比對系統
2024,副本政策是什麼,借還書與流通服務
2024,館藏怎麼維護,行政庶務
2024,特殊議題與法律問題是什麼,行政庶務
2024,特殊議題與法律問題,行政庶務
2024,法律問題是什麼,行政庶務
2024,適用對象與特殊館藏是什麼,行政庶務
2024,圖書館怎麼裝遷,行政庶務
2024,怎麼災害預防,行政庶務
2024,介紹裝遷,行政庶務
2024,介紹 裝潢,行政庶務
2024,介紹館藏維護,行政庶務
2024,怎麼進行座位登記,空間與設備
2024,電子書活動 電子書市集-AI語你同行  什麼時候抽獎,圖書館推廣與展演活動
2024,怎么预约讨论教室？,空間與設備
2024,有大娛樂家嗎,幫忙找資料
2024,如何查找電子資料庫、期刊,館藏查詢
2024,圖書館提供哪些 AI 功能啊？,客服機機人
2024,要怎麼看我的論文審核進度,學位論文與比對系統
2024,校外如何連用電子資源,電子資源與系統登入
2024,無法看到電子資源的全文,電子資源與系統登入
2024,借閱冊數,借還書與流通服務
2024,小書僮,客服機機人
2024,雅思單字書,幫忙找資料
2024,借還書規則,借還書與流通服務
2024,自習室在哪,開館時間與空間指引
2024,學位論文比對,學位論文與比對系統
2024,請問我剛剛申請的比對系統有沒有審核通過,學位論文與比對系統
2024,借還書規則,借還書與流通服務
2024,開館日期及時間,開館時間與空間指引
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,要去哪裡建議購買,資源推薦購買
2024,要去哪裡建議購買,資源推薦購買
2024,珍藏書可以外借嗎？,借還書與流通服務
2024,垃圾多久倒一次,行政庶務
2024,圖書館垃圾多久清潔一次,行政庶務
2024,可以帶外面的垃圾進館嗎,行政庶務
2024,可以吃東西嗎,空間與設備
2024,校外人士進館,校外人士與校友服務
2024,館際借書與複印,借還書與流通服務
2024,你不是館員？,客服機機人
2024,是不是最近傍晚去圖書館都會那麼吵？一大堆外國人講話很大聲也沒人管！,行政庶務
2024,借閱冊數,借還書與流通服務
2024,你好,其他
2024,小書僮,客服機機人
2024,谷崎潤一郎,幫忙找資料
2024,我要續借書籍,借還書與流通服務
2024,圖書館收字典、辭典嗎?,資源推薦購買
2024,基因文獻,幫忙找資料
2024,淡江大學圖書館有使用到虛擬館藏這個技術嗎,其他
2024,我的最愛在哪裡,館藏查詢
2024,開館時間、入館,開館時間與空間指引
2024,找書,館藏查詢
2024,借還書規則,借還書與流通服務
2024,有掃描器嗎,空間與設備
2024,考古題,館藏查詢
2024,如何設定pin code,電子資源與系統登入
2024,開館日期及時間,開館時間與空間指引
2024,畢業生就不能使用華藝線上圖書館了嗎？,校外人士與校友服務
2024,有電子書嗎,館藏查詢
2024,我要連至華藝線上,電子資源與系統登入
2024,運輸相關的書在幾樓,館藏查詢
2024,開館日期及時間,開館時間與空間指引
2024,校史館開館時間,開館時間與空間指引
2024,借書,借還書與流通服務
2024,決生紀念館,行政庶務
2024,我是校友借書證 要如何線上登入圖書館系統?,電子資源與系統登入
2024,學位論文比對,學位論文與比對系統
2024,校外人士進館,校外人士與校友服務
2024,館際借書與複印,借還書與流通服務
2024,請問如何線上註冊視障生的借書證呢?,借還書與流通服務
2024,開館日期及時間,開館時間與空間指引
2024,學位論文比對,學位論文與比對系統
2024,辦理借書證,借還書與流通服務
2024,碩士論文封面字體大小,學位論文與比對系統
2024,碩士論文封面,學位論文與比對系統
2024,OPAC,館藏查詢
2024,ieee,電子資源與系統登入
2024,ieee,電子資源與系統登入
2024,我想換成英文版,其他
2024,你看知道我現在在的頁面嗎,客服機機人
2024,校史館開館時間,開館時間與空間指引
2024,學位論文提交,學位論文與比對系統
2024,怎麼設定pin code,電子資源與系統登入
2024,沒有學生證可以進圖書館嗎,校外人士與校友服務
2024,我是這裡學生要怎麼不用學生證進圖書館,校外人士與校友服務
2024,我是這裡學生要怎麼不用學生證進圖書館,校外人士與校友服務
2024,我是這裡學生要怎麼不用學生證進圖書館,校外人士與校友服務
2024,我是這裡學生要怎麼不用學生證進圖書館,校外人士與校友服務
2024,我是這裡學生要怎麼不用學生證進圖書館,校外人士與校友服務
2024,我是這裡學生要怎麼不用學生證進圖書館,校外人士與校友服務
2024,我是這裡學生要怎麼不用學生證進圖書館,校外人士與校友服務
2024,館藏查詢,館藏查詢
2024,館藏查詢,館藏查詢
2024,我想找有沒有我要的書在圖書館,館藏查詢
2024,忘記帶學生證要如何入館?,空間與設備
2024,校友借書,校外人士與校友服務
2024,校友可以使用電子資源嗎?,電子資源與系統登入
2024,忘記帶學生證要如何入館?,空間與設備
2024,館際借書與複印,借還書與流通服務
2024,哪裡登入帳號,電子資源與系統登入
2024,校外人士進館,校外人士與校友服務
2024,學習與研究,其他
2024,你有AI嗎？,客服機機人
2024,所以是拿著學生證去辦理借書證,借還書與流通服務
2024,在校生可以用學生證借書嗎,借還書與流通服務
2024,借還書規則,借還書與流通服務
2024,校外人士進館,校外人士與校友服務
2024,怎麼借書,借還書與流通服務
2024,辦理借書證,借還書與流通服務
2024,小書僮,客服機機人
2024,柯玫綾,行政庶務
2024,在圖書館遺失物品怎麼辦,行政庶務
2024,校友可以使用電子資源嗎?,電子資源與系統登入
2024,校外人士進館,校外人士與校友服務
2024,學位論文提交,學位論文與比對系統
2024,插座,空間與設備
2024,校外人士進館,校外人士與校友服務
2024,訪客管理系統,空間與設備
2024,校外人士進館,校外人士與校友服務
2024,小書僮,客服機機人
2024,糸子的洋裝店,館藏查詢
2024,論文閱讀,學位論文與比對系統
2024,學位論文比對,學位論文與比對系統
2024,館員一直聊天很吵,行政庶務
2024,預約討論室報到地點,空間與設備
2024,學生證不見可以借討論室嗎,空間與設備
2024,想借討論室沒有學生證，可以用身分證嗎,空間與設備
2024,討論室預約,空間與設備
2024,校外人士進館,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,辦理借書證,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,參考書是什麼,館藏查詢
2024,參考書,館藏查詢
2024,請問雜誌可以外借嗎,借還書與流通服務
2024,校外人士進館,校外人士與校友服務
2024,校外人士如何使用電腦,校外人士與校友服務
2024,臨時閱覽證條碼有證號嗎,校外人士與校友服務
2024,條碼有證號嗎,校外人士與校友服務
2024,臨時閱覽證,校外人士與校友服務
2024,圖書館各樓層有什麼書,館藏查詢
2024,有天行眾嗎,館藏查詢
2024,請問台北分館有影印機嗎,空間與設備
2024,可以借幾本書,借還書與流通服務
2024,兼任教師可以借幾本書,借還書與流通服務
2024,開館日期及時間,開館時間與空間指引
2024,匯雅電子圖書如何使用,電子資源與系統登入
2024,借書證去哪裏申請,借還書與流通服務
2024,校外人士進館,校外人士與校友服務
2024,校友借書,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,什麼時候有徵工讀,工讀招募
2024,申請比對權限,學位論文與比對系統
2024,電子書,電子資源與系統登入
2024,找電子書,電子資源與系統登入
2024,怎麼借電子書,電子資源與系統登入
2024,借閱冊數,借還書與流通服務
2024,小書僮,客服機機人
2024,個人借書記錄,借還書與流通服務
2024,可以自動借書嗎,借還書與流通服務
2024,校友借書,校外人士與校友服務
2024,開館日期及時間,開館時間與空間指引
2024,3樓電腦登記,空間與設備
2024,帳號登入,電子資源與系統登入
2024,開館日期及時間,開館時間與空間指引
2024,辦理借書證,借還書與流通服務
2024,借還書規則,借還書與流通服務
2024,校外人士進館,校外人士與校友服務
2024,我是學生我要怎麼進去圖書館,開館時間與空間指引
2024,辦理借書證,借還書與流通服務
2024,校友借書,校外人士與校友服務
2024,開館日期及時間,開館時間與空間指引
2024,校外人士進館,校外人士與校友服務
2024,淡江是否訂閱science direct,電子資源與系統登入
2024,書籍查詢,館藏查詢
2024,開館日期及時間,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,借閱冊數,借還書與流通服務
2024,續借之後可以再續借嗎,借還書與流通服務
2024,開館日期及時間,開館時間與空間指引
2024,只能續借一次嗎,借還書與流通服務
2024,書可以續借幾次,借還書與流通服務
2024,圖書館很多人在大聲嚷嚷,空間與設備
2024,如何查詢電子書,電子資源與系統登入
2024,查詢電子書,電子資源與系統登入
2024,電子書查詢,電子資源與系統登入
2024,查詢電子書,電子資源與系統登入
2024,pin code,電子資源與系統登入
2024,如何借預約書,借還書與流通服務
2024,pin code 設定,電子資源與系統登入
2024,借電腦,空間與設備
2024,AI人工智慧在幾樓,館藏查詢
2024,AI人工智慧在幾樓,館藏查詢
2024,討論室預約,空間與設備
2024,討論室預約,空間與設備
2024,怎麼知道閱聽室有哪些電影,館藏查詢
2024,線上論文,電子資源與系統登入
2024,線上全文,電子資源與系統登入
2024,借還書規則,借還書與流通服務
2024,hello,其他
2024,我要怎麼走去商管大樓,行政庶務
2024,校史館開館時間,開館時間與空間指引
2024,學位論文比對,學位論文與比對系統
2024,校外人士進館,校外人士與校友服務
2024,館際借書與複印,借還書與流通服務
2024,優三入館,校外人士與校友服務
2024,什麼是非書資料,館藏查詢
2024,可以查詢書籍嗎,館藏查詢
2024,借還書規則,借還書與流通服務
2024,你好👋想問一下國定假日圖書館的開放時間 謝謝,開館時間與空間指引
2024,論文加浮水印,學位論文與比對系統
2024,學位論文浮水印,學位論文與比對系統
2024,學位論文浮水印,學位論文與比對系統
2024,有垃圾桶嗎,空間與設備
2024,小書僮,客服機機人
2024,有垃圾桶嗎,空間與設備
2024,我想找天下雜誌電子版,幫忙找資料
2024,請問有没有「別鬧了費曼先生」這本書,幫忙找資料
2024,請問有没有「別鬧了費曼先生」這本書,館藏查詢
2024,辦理借書證,校外人士與校友服務
2024,借書機在哪,空間與設備
2024,借書機在哪,空間與設備
2024,去哪裡借書,借還書與流通服務
2024,借還書規則,借還書與流通服務
2024,怎麼登入,電子資源與系統登入
2024,到圖書館辦理學生證掛失嗎,行政庶務
2024,到圖書館？,行政庶務
2024,學生證掛失,行政庶務
2024,我想要airtilibrary,電子資源與系統登入
2024,如何借用多媒體資源室？,空間與設備
2024,借多媒體討論室,空間與設備
2024,借閱多媒體,空間與設備
2024,借閱教室,空間與設備
2024,借閱多媒體,空間與設備
2024,小書僮,客服機機人
2024,哈佛商業評論,幫忙找資料
2024,借還書相關問題,借還書與流通服務
2024,請問學校是否可以提供IEEE Xplore文章下載？,電子資源與系統登入
2024,學校有哈利波特這本書嗎,館藏查詢
2024,學校有「別鬧了費曼先生」這本書嗎?,館藏查詢
2024,學校有「別鬧了費曼先生」嗎?,館藏查詢
2024,學校有提供電子書帳號嗎,電子資源與系統登入
2024,開館日期及時間,開館時間與空間指引
2024,段考考古題,館藏查詢
2024,考古題,館藏查詢
2024,電子書查詢,電子資源與系統登入
2024,淡江大學自修室,開館時間與空間指引
2024,尋找電子書,館藏查詢
2024,借還書規則,借還書與流通服務
2024,辦理借書證,校外人士與校友服務
2024,優久聯盟,校外人士與校友服務
2024,研究小間申請,空間與設備
2024,校外人士進館,校外人士與校友服務
2024,開館日期及時間,開館時間與空間指引
2024,圖各樓層,開館時間與空間指引
2024,校史館開館時間,開館時間與空間指引
2024,校外人士進館,校外人士與校友服務
2024,請問哪裡可以搜尋的到英文文獻,幫忙找資料
2024,請幫我連結到PsycINFO,電子資源與系統登入
2024,請幫我連結到apa,電子資源與系統登入
2024,贈書後是否有些函？是否會在書上標注捐贈者姓名？,行政庶務
2024,如何贈書,行政庶務
2024,還書箱還書，但系統仍顯示逾期,借還書與流通服務
2024,已經還書了，但收到逾期通知,借還書與流通服務
2024,協尋資料,幫忙找資料
2024,按照索書號尋書時常找不到書,館藏查詢
2024,找不到線上註冊的地方,電子資源與系統登入
2024,請問國三生可以進入圖書館內讀書嗎？,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,有愛戀生活閱讀這本書嗎,幫忙找資料
2024,總館自助借書機在哪裡？,空間與設備
2024,借還書規則,借還書與流通服務
2024,討論室預約,空間與設備
2024,一次能借幾本書,借還書與流通服務
2024,研究小間申請,空間與設備
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,校友借書,校外人士與校友服務
2024,請問校外人士可以進去圖書館嗎?,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,校友借書,校外人士與校友服務
2024,開館日期及時間,開館時間與空間指引
2024,如何借電子書,電子資源與系統登入
2024,現在有開館嗎,開館時間與空間指引
2024,查詢到的書籍標示目前不可獲得是不能借嗎,館藏查詢
2024,怎麼找proquest,幫忙找資料
2024,查詢個人借閱,借還書與流通服務
2024,今天開館時間,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,颱風天會不會開,開館時間與空間指引
2024,明天颱風天會開嗎,開館時間與空間指引
2024,期刊去哪看,電子資源與系統登入
2024,冷氣有開嗎,空間與設備
2024,圖書館很熱,空間與設備
2024,冷氣不涼,空間與設備
2024,我想看這一期的天下雜誌,幫忙找資料
2024,討論室預約,空間與設備
2024,辦理借書證,借還書與流通服務
2024,如果有還沒還的書的話，還能繼續借書嗎,借還書與流通服務
2024,如果有還沒還的書的話，還能繼續借書嗎,借還書與流通服務
2024,館際借書與複印,借還書與流通服務
2024,開館日期及時間,開館時間與空間指引
2024,如何閱讀電子書,電子資源與系統登入
2024,登入,電子資源與系統登入
2024,如何續借,借還書與流通服務
2024,開館日期及時間,開館時間與空間指引
2024,怎麼借討論室,空間與設備
2024,開館日期及時間,開館時間與空間指引
2024,圖書館利用講習,圖書館推廣與展演活動
2024,去哪裡下載endnote,電子資源與系統登入
2024,請問新的試用資料庫 繙云文獻 怎麼登入呢？,電子資源與系統登入
2024,在校外可以使用本校電子資料庫嗎？,電子資源與系統登入
2024,請問新的試用資料庫 繙云文獻 怎麼登入呢？,電子資源與系統登入
2024,去哪裡下載endnote,電子資源與系統登入
2024,更改pincode,電子資源與系統登入
2024,你好我想問印表機是在3樓那個位置,空間與設備
2024,新生沒有學生證如何入館,校外人士與校友服務
2024,新生尚未有學生證,借還書與流通服務
2024,如何進館,開館時間與空間指引
2024,申請入館,校外人士與校友服務
2024,如何借電子書,電子資源與系統登入
2024,如何看到電子書全文,電子資源與系統登入
2024,借電子書步驟,電子資源與系統登入
2024,如何借電子書,電子資源與系統登入
2024,圖書館在哪,行政庶務
2024,看電影時間,圖書館推廣與展演活動
2024,圖書館哪裡可看電影,空間與設備
2024,校外人士進館,校外人士與校友服務
2024,web of science,幫忙找資料
2024,圖書館有買endnote,電子資源與系統登入
2024,開館日期及時間,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,建議購買,資源推薦購買
2024,我要找書,館藏查詢
2024,校史館拍照,其他
2024,校外人士進館,校外人士與校友服務
2024,電子書連結進不去,電子資源與系統登入
2024,電子書看不了,電子資源與系統登入
2024,借還書規則,借還書與流通服務
2024,沒帶學生證可以借書嗎,借還書與流通服務
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,校友借書,校外人士與校友服務
2024,辦理借書證,校外人士與校友服務
2024,借還書規則,借還書與流通服務
2024,空間與設備,空間與設備
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,如何使用本校電子資料庫嗎,電子資源與系統登入
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,討論室預約,空間與設備
2024,非書資料是什麼,館藏查詢
2024,借還書規則,借還書與流通服務
2024,研究小間在幾樓,空間與設備
2024,查詢館藏,館藏查詢
2024,小書僮,客服機機人
2024,小說,館藏查詢
2024,自習室,空間與設備
2024,開館日期及時間,開館時間與空間指引
2024,電影,空間與設備
2024,開館日期及時間,開館時間與空間指引
2024,離開圖書館時為什麼不用刷學生證,行政庶務
2024,如何連線,電子資源與系統登入
2024,借還書規則,借還書與流通服務
2024,申請線上電子書,資源推薦購買
2024,可以預約研究生講習嗎,圖書館推廣與展演活動
2024,校外人士進館,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,校友借書,校外人士與校友服務
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,研究小間申請,空間與設備
2024,討論室預約,空間與設備
2024,校外人士進館,校外人士與校友服務
2024,辦理借書證,校外人士與校友服務
2024,校外人士借書,校外人士與校友服務
2024,講習預約,圖書館推廣與展演活動
2024,借還書規則,借還書與流通服務
2024,校外人士進館,校外人士與校友服務
2024,講習預約,圖書館推廣與展演活動
2024,小書僮,客服機機人
2024,請問你是誰,客服機機人
2024,有還未還書籍即可再借書嗎,借還書與流通服務
2024,有位還書即可再借書嗎,借還書與流通服務
2024,10樓是什麼,開館時間與空間指引
2024,還書,借還書與流通服務
2024,請問有Émile Zola的書嗎,幫忙找資料
2024,我是這裡學生要怎麼不用學生證進圖書館,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,校友借書證,校外人士與校友服務
2024,如何借書,借還書與流通服務
2024,那是用之前的學生證借嗎？,借還書與流通服務
2024,校友借書證可借幾本書？,校外人士與校友服務
2024,校友可以借書嗎？,校外人士與校友服務
2024,電子書清單,電子資源與系統登入
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,給我學校有訂約的電子書資源,幫忙找資料
2024,校友借書,校外人士與校友服務
2024,辦理借書證,校外人士與校友服務
2024,入館前如何須先線上註冊,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,怎麼找自己想要借的書,館藏查詢
2024,請問想自學語言的線上雜誌在哪,電子資源與系統登入
2024,找本書,幫忙找資料
2024,自助借書機 預設密碼,空間與設備
2024,自助借書機位置,空間與設備
2024,校友借書,校外人士與校友服務
2024,工讀生失物招領流程,行政庶務
2024,工讀生工作細項,工讀招募
2024,開館日期及時間,開館時間與空間指引
2024,校外人士進館,校外人士與校友服務
2024,校友借書,校外人士與校友服務
2024,借還書規則,借還書與流通服務
2024,開館日期及時間,開館時間與空間指引
2024,借還書規則,借還書與流通服務
2024,圖書館內可以飲水嗎,行政庶務
2024,五樓是幹嘛的,開館時間與空間指引
2024,校外人士可以使用一樓自習室嗎？,校外人士與校友服務
2024,問題反應,行政庶務
2024,五樓有飲水機嗎,空間與設備
2024,如何下載安裝書目管理軟體,電子資源與系統登入
2024,書目管理軟體,電子資源與系統登入
2024,圖書館有買endnote,電子資源與系統登入
2024,Reference work,行政庶務
2024,請問DVD在哪一個館?,館藏查詢
2024,請問校外人士可以借DVD嗎?,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,開館日期及時間,開館時間與空間指引
2024,借閱多媒體教室,空間與設備
2024,書籍續借,借還書與流通服務
2024,館藏查詢,館藏查詢
2024,如何找書,館藏查詢
2024,搜尋書籍,館藏查詢
2024,每個樓層都可以去嗎,開館時間與空間指引
2024,請問校內學生如何借書,借還書與流通服務
2024,有自修室嗎,空間與設備
2024,請問本校有財經全文資料庫嗎,電子資源與系統登入
2024,借還書規則,借還書與流通服務
2024,圖書館可以看電影嗎,空間與設備
2024,飲水機,空間與設備
2024,校友借書,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,校外人士進館,校外人士與校友服務
2024,你好 請問校友卡如何辦理,校外人士與校友服務
2024,開館日期及時間,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,校外人士進館,校外人士與校友服務
2024,謝謝,其他
2024,開館日期及時間,開館時間與空間指引
2024,借還書規則,借還書與流通服務
2024,校外人士進館,校外人士與校友服務
2024,開館日期及時間,開館時間與空間指引
2024,開館時間、入館,開館時間與空間指引
2024,討論室預約,空間與設備
2024,辦理借書證,借還書與流通服務
2024,借還書規則,借還書與流通服務
2024,要怎麼知道預約的書可以拿了,借還書與流通服務
2024,校外人士進館,校外人士與校友服務
2024,開館時間,開館時間與空間指引
2024,館際借書與複印,借還書與流通服務
2024,校友借書,校外人士與校友服務
2024,在校生最多可借幾本書,借還書與流通服務
2024,無障礙資源室有多益嗎,幫忙找資料
2024,小書僮,客服機機人
2024,多益,幫忙找資料
2024,多益資源,幫忙找資料
2024,9樓Z類是什麼學科,館藏查詢
2024,圖書館各樓層有什麼書,館藏查詢
2024,9樓Z區是什麼學科的西文圖書,館藏查詢
2024,空間與設備,空間與設備
2024,參考服務組是否屬於圖書館服務中的讀者服務,行政庶務
2024,多媒體空間,空間與設備
2024,空間編號,空間與設備
2024,參考服務組？,行政庶務
2024,參考服務組是否屬於圖書館中的讀者服務,行政庶務
2024,開館日期及時間,開館時間與空間指引
2024,參考工具書是否可以借回家,借還書與流通服務
2024,如何借圖書館內的研究小間,空間與設備
2024,參考服務台在哪,行政庶務
2024,開館日期及時間,開館時間與空間指引
2024,圖書館2樓面對櫃檯左手邊的區域是什麼,開館時間與空間指引
2024,圖書館五樓11a書架放的是什麼類型書,館藏查詢
2024,借還書規則,借還書與流通服務
2024,圖書館提供導覽服務嗎?,圖書館推廣與展演活動
2024,參考諮詢服務對象,行政庶務
2024,參考諮詢,行政庶務
2024,工具書外借,借還書與流通服務
2024,參考書可以外借嗎？,借還書與流通服務
2024,問題反應,行政庶務
2024,3人以上可以預約哪兩間多媒體空間？謝謝,空間與設備
2024,開館時間的步驟,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,圖書館哪裡可看電影,空間與設備
2024,如何借用多媒體資源室？,空間與設備
2024,多媒體空間在哪裡,空間與設備
2024,如何查找電子資料庫、期刊,電子資源與系統登入
2024,參考服務,行政庶務
2024,多媒體空間,空間與設備
2024,超過3人借閱視聽資料，預約哪兩間多媒體空間,空間與設備
2024,圖書館各樓層有什麼書,館藏查詢
2024,9樓Z區,館藏查詢
2024,讀者服務,行政庶務
2024,館長叫甚麼名字,行政庶務
2024,屬於五大類型圖書館的哪一種,行政庶務
2024,怎麼下樓,開館時間與空間指引
2024,樓層介紹,開館時間與空間指引
2024,多媒體空間編號,空間與設備
2024,五大館藏,館藏查詢
2024,覺生圖書館屬於哪一類,行政庶務
2024,參考服務組的服務,行政庶務
2024,圖書館提供導覽服務嗎?,圖書館推廣與展演活動
2024,參考諮詢服務對象,行政庶務
2024,登入,電子資源與系統登入
2024,館長是誰,行政庶務
2024,特色館藏的相關問題,館藏查詢
2024,借還書規則,借還書與流通服務
2024,借還書規則,借還書與流通服務
2024,怎麼找電影,館藏查詢
2024,如何申請長期研究小間？何時公佈使用名單？,空間與設備
2024,長期研究,空間與設備
2024,論文格式範例,學位論文與比對系統
2024,借還書規則,借還書與流通服務
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,辦理借書證,校外人士與校友服務
2024,如何查詢碩博士論文,館藏查詢
2024,辦理借書證,校外人士與校友服務
2024,開館日期及時間,開館時間與空間指引
2024,還沒有圖書館能進去嗎,校外人士與校友服務
2024,討論室預約,空間與設備
2024,空間與設備,空間與設備
2024,淡江大學圖書館有怪書研究是這本書嗎？,館藏查詢
2024,圖書館有網路概論與食物的書嗎,館藏查詢
2024,中秋節圖書館有開嗎？,開館時間與空間指引
2024,校友借書,校外人士與校友服務
2024,圖書館最近的活動,圖書館推廣與展演活動
2024,美食文學作品,幫忙找資料
2024,要怎麼知道預約的書可以拿了,借還書與流通服務
2024,要怎麼知道預約的書可以拿了,借還書與流通服務
2024,要怎麼知道預約的書可以拿了,借還書與流通服務
2024,要怎麼知道預約的書可以拿了,借還書與流通服務
2024,要怎麼知道預約的書可以拿了,借還書與流通服務
2024,如何查找電子資料庫、期刊,電子資源與系統登入
2024,如何使用本校電子資料庫嗎,電子資源與系統登入
2024,JSTOR,電子資源與系統登入
2024,自習室開放時間,開館時間與空間指引
2024,請問平常日1-日有自習世開放到晚上12點的嗎,開館時間與空間指引
2024,開館日期及時間,開館時間與空間指引
2024,校外人士進館,校外人士與校友服務
2024,校友可以使用電子資源嗎?,校外人士與校友服務
2024,小書僮,客服機機人
2024,CEPS,電子資源與系統登入
2024,自習室,空間與設備
2024,開館日期及時間,開館時間與空間指引
